Title,Authors,Subjetcs
Curious Meta-Controller: Adaptive Alternation between Model-Based and  Model-Free Control in Deep Reinforcement Learning,"Muhammad Burhan Hafez, 
Cornelius Weber, 
Matthias Kerzel, 
Stefan Wermter","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Robotics (cs.RO); Machine Learning (stat.ML)
"
The Game of Tetris in Machine Learning,"Simón Algorta, 
Özgür Şimşek","Machine Learning (cs.LG); Artificial Intelligence (cs.AI)
"
A Typedriven Vector Semantics for Ellipsis with Anaphora using Lambek  Calculus with Limited Contraction,"Gijs Wijnholds, 
Mehrnoosh Sadrzadeh","Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Logic in Computer Science (cs.LO); Logic (math.LO)
"
Conditional Generative Neural System for Probabilistic Trajectory  Prediction,"Jiachen Li, 
Hengbo Ma, 
Masayoshi Tomizuka","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Robotics (cs.RO); Machine Learning (stat.ML)
"
Learning Graph Neural Networks with Noisy Labels,"Hoang NT, 
Choong Jun Jin, 
Tsuyoshi Murata","Machine Learning (cs.LG); Machine Learning (stat.ML)
"
A Pattern Recognition Method for Partial Discharge Detection on  Insulated Overhead Conductors,"Ming Dong, 
Zexi Sun, 
Carl Wang","Signal Processing (eess.SP); Artificial Intelligence (cs.AI)
"
Learning to Control in Metric Space with Optimal Regret,"Lin F. Yang, 
Chengzhuo Ni, 
Mengdi Wang","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
"
Learning to Denoise Distantly-Labeled Data for Entity Typing,"Yasumasa Onoe, 
Greg Durrett","Computation and Language (cs.CL); Artificial Intelligence (cs.AI)
"
A Similarity Measure for Material Appearance,"Manuel Lagunas, 
Sandra Malpica, 
Ana Serrano, 
Elena Garces, 
Diego Gutierrez, 
Belen Masia","Graphics (cs.GR); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)
"
Detecting Pathogenic Social Media Accounts without Content or Network  Structure,"Elham Shaabani, 
Ruocheng Guo, 
Paulo Shakarian","Social and Information Networks (cs.SI); Information Retrieval (cs.IR); Machine Learning (cs.LG)
"
An End-to-End Framework to Identify Pathogenic Social Media Accounts on  Twitter,"Elham Shaabani, 
Ashkan Sadeghi-Mobarakeh, 
Hamidreza Alvari, 
Paulo Shakarian","Social and Information Networks (cs.SI); Information Retrieval (cs.IR); Machine Learning (cs.LG)
"
Hierarchical Policy Learning is Sensitive to Goal Space Design,"Zach Dwiel, 
Madhavun Candadai, 
Mariano J. Phielipp, 
Arjun K. Bansal","Machine Learning (cs.LG); Artificial Intelligence (cs.AI)
"
SoilingNet: Soiling Detection on Automotive Surround-View Cameras,"Michal Uricar, 
Pavel Krizek, 
Ganesh Sistu, 
Senthil Yogamani","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Robotics (cs.RO); Machine Learning (stat.ML)
"
"WoodScape: A multi-task, multi-camera fisheye dataset for autonomous  driving","Senthil Yogamani, 
Ciaran Hughes, 
Jonathan Horgan, 
Ganesh Sistu, 
Padraig Varley, 
Derek O'Dea, 
Michal Uricar, 
Stefan Milz, 
Martin Simon, 
Karl Amende, 
Christian Witt, 
Hazem Rashed, 
Sumanth Chennupati, 
Sanjaya Nayak, 
Saquib Mansoor, 
Xavier Perroton, 
Patrick Perez","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Robotics (cs.RO); Machine Learning (stat.ML)
"
A Survey on Neural Architecture Search,"Martin Wistuba, 
Ambrish Rawat, 
Tejaswini Pedapati","Machine Learning (cs.LG); Computer Vision and Pattern Recognition (cs.CV); Neural and Evolutionary Computing (cs.NE); Machine Learning (stat.ML)
"
Personalized Query Auto-Completion Through a Lightweight Representation  of the User Context,"Manojkumar Rangasamy Kannadasan, 
Grigor Aslanyan","Information Retrieval (cs.IR); Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Machine Learning (cs.LG)
"
A multi-agent system approach in evaluating human spatio-temporal  vulnerability to seismic risk using social attachment,"Julius Bañgate, 
Julie Dugdale (LIG Laboratoire d'Informatique de Grenoble), 
Elise Beck (IV), 
Carole Adam (LIG, LIG Laboratoire d'Informatique de Grenoble)","Multiagent Systems (cs.MA); Artificial Intelligence (cs.AI)
"
Skynet: A Top Deep RL Agent in the Inaugural Pommerman Team Competition,"Chao Gao, 
Pablo Hernandez-Leal, 
Bilal Kartal, 
Matthew E. Taylor","Multiagent Systems (cs.MA); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)
"
Data-efficient Learning of Morphology and Controller for a Microrobot,"Thomas Liao, 
Grant Wang, 
Brian Yang, 
Rene Lee, 
Kristofer Pister, 
Sergey Levine, 
Roberto Calandra","Robotics (cs.RO); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)
"
Meta-learners' learning dynamics are unlike learners',Neil C. Rabinowitz,"Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
"
Autonomous Air Traffic Controller: A Deep Multi-Agent Reinforcement  Learning Approach,"Marc Brittain, 
Peng Wei","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Multiagent Systems (cs.MA); Machine Learning (stat.ML)
"
